1,651,1.399233
2,1302,1.352052
3,1953,1.299477
4,2604,1.194841
5,3255,1.102314
6,3906,1.066152
7,4557,1.050597
8,5208,1.038224
9,5859,1.024093
10,6510,1.007028
11,7161,0.985659
12,7812,0.958861
